date,open,high,low,close,uptrend,downtrend
2015-01-09 09:15:00,8285.45,8303.0,8273.95,8282.35,False,False
2015-01-09 11:15:00,8282.55,8283.2,8191.1,8245.85,False,True
2015-01-09 13:15:00,8246.7,8296.35,8204.75,8285.7,False,False
2015-01-09 15:15:00,8286.3,8288.05,8278.05,8280.25,False,False
2015-01-12 09:15:00,8291.35,8297.3,8245.6,8281.35,False,False
2015-01-12 11:15:00,8280.9,8293.9,8252.5,8272.8,False,True
2015-01-12 13:15:00,8272.85,8323.6,8265.65,8319.95,True,False
2015-01-12 15:15:00,8319.55,8332.25,8318.6,8326.55,True,False
2015-01-13 09:15:00,8346.15,8355.9,8322.0,8336.4,True,False
2015-01-13 11:15:00,8336.6,8343.4,8321.3,8340.65,True,False
2015-01-13 13:15:00,8341.3,8356.65,8268.15,8304.8,True,False
2015-01-13 15:15:00,8304.9,8309.3,8296.2,8303.8,True,False
2015-01-14 09:15:00,8307.25,8326.3,8286.85,8290.1,False,False
2015-01-14 11:15:00,8290.2,8293.35,8236.75,8257.9,False,False
2015-01-14 13:15:00,8258.2,8301.9,8244.05,8272.8,False,False
2015-01-14 15:15:00,8273.05,8290.25,8269.0,8287.75,False,False
2015-01-15 09:15:00,8425.2,8452.65,8380.75,8433.3,True,False
2015-01-15 11:15:00,8433.3,8482.95,8430.45,8472.65,True,False
2015-01-15 13:15:00,8472.6,8526.9,8468.15,8510.75,True,False
2015-01-15 15:15:00,8510.45,8511.0,8459.35,8461.15,True,False
2015-01-19 09:15:00,8553.4,8570.8,8548.2,8566.7,True,False
2015-01-19 11:15:00,8566.55,8568.15,8531.7,8553.4,True,False
2015-01-19 13:15:00,8553.45,8568.25,8543.45,8551.45,True,False
2015-01-19 15:15:00,8550.85,8552.9,8546.4,8550.3,True,False
2015-01-20 09:15:00,8575.1,8605.0,8574.65,8599.25,True,False
2015-01-20 11:15:00,8599.3,8629.3,8592.0,8624.45,True,False
2015-01-20 13:15:00,8623.85,8707.75,8614.0,8689.85,True,False
2015-01-20 15:15:00,8689.9,8696.9,8687.1,8691.25,True,False
2015-01-21 09:15:00,8719.65,8741.5,8689.7,8704.5,True,False
2015-01-21 11:15:00,8704.85,8728.45,8696.4,8719.8,True,False
2015-01-21 13:15:00,8719.75,8734.6,8703.2,8730.7,True,False
2015-01-21 15:15:00,8731.3,8734.8,8723.6,8728.05,True,False
2015-01-22 09:15:00,8745.85,8772.45,8735.0,8754.7,True,False
2015-01-22 11:15:00,8754.85,8765.6,8741.55,8746.65,True,False
2015-01-22 13:15:00,8746.55,8761.8,8727.15,8760.3,True,False
2015-01-22 15:15:00,8759.95,8774.0,8759.95,8762.2,True,False
2015-01-23 09:15:00,8827.95,8866.15,8795.6,8806.15,True,False
2015-01-23 11:15:00,8805.6,8827.9,8799.5,8822.4,True,False
2015-01-23 13:15:00,8822.65,8849.6,8806.7,8834.85,True,False
2015-01-23 15:15:00,8834.9,8837.05,8822.35,8823.55,True,False
2015-01-27 09:15:00,8871.35,8874.7,8826.1,8847.15,True,False
2015-01-27 11:15:00,8847.7,8853.0,8825.55,8850.2,True,False
2015-01-27 13:15:00,8849.6,8924.95,8842.55,8915.5,True,False
2015-01-27 15:15:00,8915.35,8916.3,8902.0,8904.2,True,False
2015-01-28 09:15:00,8902.75,8930.65,8889.35,8928.0,True,False
2015-01-28 11:15:00,8928.7,8985.05,8907.55,8928.7,True,False
2015-01-28 13:15:00,8928.15,8936.7,8874.2,8920.05,True,False
2015-01-28 15:15:00,8920.25,8921.0,8905.0,8906.8,True,False
2015-01-29 09:15:00,8901.5,8901.5,8861.65,8872.75,True,False
2015-01-29 11:15:00,8872.7,8907.45,8863.4,8876.65,True,False
2015-01-29 13:15:00,8875.95,8966.2,8871.35,8953.45,True,False
2015-01-29 15:15:00,8954.05,8958.6,8945.05,8950.2,True,False
2015-01-30 09:15:00,8996.6,8996.6,8861.95,8868.1,True,False
2015-01-30 11:15:00,8867.85,8882.3,8820.5,8835.1,False,False
2015-01-30 13:15:00,8834.85,8854.25,8775.6,8808.05,False,False
2015-01-30 15:15:00,8807.95,8824.35,8798.1,8821.45,False,False
2015-02-02 09:15:00,8802.5,8807.8,8772.45,8786.75,False,False
2015-02-02 11:15:00,8786.3,8792.35,8751.45,8758.45,False,False
2015-02-02 13:15:00,8758.8,8839.9,8755.35,8797.05,False,False
2015-02-02 15:15:00,8797.1,8803.55,8789.6,8798.15,False,False
2015-02-03 09:15:00,8823.15,8836.45,8768.7,8828.45,True,False
2015-02-03 11:15:00,8827.6,8827.6,8726.65,8733.6,False,True
2015-02-03 13:15:00,8734.2,8795.8,8731.45,8761.8,False,True
2015-02-03 15:15:00,8761.25,8761.85,8740.4,8746.65,False,True
2015-02-04 09:15:00,8789.15,8791.45,8716.75,8745.5,False,True
2015-02-04 11:15:00,8746.0,8780.3,8735.2,8771.65,False,True
2015-02-04 13:15:00,8771.4,8774.25,8723.45,8724.35,False,True
2015-02-04 15:15:00,8724.35,8725.25,8704.7,8713.95,False,True
2015-02-05 09:15:00,8733.1,8767.85,8705.75,8752.95,False,True
2015-02-05 11:15:00,8753.55,8779.0,8742.05,8778.55,False,False
2015-02-05 13:15:00,8778.2,8838.3,8707.8,8708.0,False,True
2015-02-05 15:15:00,8708.0,8712.7,8683.95,8699.4,False,True
2015-02-06 09:15:00,8696.85,8725.8,8663.1,8686.6,False,True
2015-02-06 11:15:00,8686.35,8716.1,8671.0,8687.0,False,True
2015-02-06 13:15:00,8687.05,8697.4,8646.65,8654.7,False,True
2015-02-06 15:15:00,8654.75,8669.5,8651.4,8666.0,False,True
2015-02-09 09:15:00,8584.4,8603.9,8548.2,8556.95,False,True
2015-02-09 11:15:00,8556.75,8592.35,8554.15,8582.4,False,True
2015-02-09 13:15:00,8582.3,8592.9,8521.15,8525.2,False,True
2015-02-09 15:15:00,8525.65,8530.75,8516.35,8518.3,False,True
2015-02-10 09:15:00,8478.1,8612.95,8472.05,8600.55,False,True
2015-02-10 11:15:00,8600.8,8646.15,8553.75,8569.65,False,True
2015-02-10 13:15:00,8569.2,8579.85,8474.95,8552.3,False,True
2015-02-10 15:15:00,8552.1,8579.25,8548.15,8578.85,False,True
2015-02-11 09:15:00,8603.3,8630.9,8594.05,8607.5,False,True
2015-02-11 11:15:00,8607.75,8645.55,8599.85,8637.85,False,True
2015-02-11 13:15:00,8637.9,8651.9,8602.15,8624.05,False,True
2015-02-11 15:15:00,8625.5,8638.6,8624.05,8635.5,False,True
2015-02-12 09:15:00,8676.95,8681.4,8615.65,8629.5,False,True
2015-02-12 11:15:00,8629.1,8632.7,8599.4,8611.95,False,True
2015-02-12 13:15:00,8612.2,8725.95,8609.45,8721.95,False,False
2015-02-12 15:15:00,8721.05,8732.15,8713.05,8728.4,False,False
2015-02-13 09:15:00,8741.5,8766.55,8730.0,8747.1,True,False
2015-02-13 11:15:00,8746.45,8795.65,8741.9,8775.7,True,False
2015-02-13 13:15:00,8776.3,8821.7,8774.55,8808.05,True,False
2015-02-13 15:15:00,8808.15,8809.8,8790.6,8803.05,True,False
2015-02-16 09:15:00,8831.4,8869.95,8825.4,8846.4,True,False
2015-02-16 11:15:00,8846.05,8846.1,8815.3,8826.65,True,False
2015-02-16 13:15:00,8826.75,8855.8,8801.9,8803.75,True,False
2015-02-16 15:15:00,8803.8,8808.7,8793.7,8808.7,True,False
2015-02-18 09:15:00,8811.55,8861.85,8810.05,8854.3,True,False
2015-02-18 11:15:00,8854.65,8861.5,8837.7,8853.45,True,False
2015-02-18 13:15:00,8853.5,8893.9,8834.9,8870.25,True,False
2015-02-18 15:15:00,8869.95,8873.05,8859.25,8865.25,True,False
2015-02-19 09:15:00,8883.05,8902.55,8809.95,8826.4,True,False
2015-02-19 11:15:00,8826.7,8849.35,8816.55,8832.4,True,False
2015-02-19 13:15:00,8832.45,8905.0,8794.55,8904.0,True,False
2015-02-19 15:15:00,8905.35,8913.45,8894.75,8898.35,True,False
2015-02-20 09:15:00,8895.5,8895.5,8816.5,8845.3,True,False
2015-02-20 11:15:00,8845.15,8887.6,8843.6,8865.1,True,False
2015-02-20 13:15:00,8864.55,8890.1,8831.95,8833.75,True,False
2015-02-20 15:15:00,8833.6,8836.7,8821.55,8827.7,True,False
2015-02-23 09:15:00,8856.85,8868.9,8839.2,8849.8,True,False
2015-02-23 11:15:00,8849.55,8853.0,8832.1,8850.6,True,False
2015-02-23 13:15:00,8850.15,8856.1,8748.8,8759.9,False,False
2015-02-23 15:15:00,8758.1,8761.45,8737.25,8742.8,False,False
2015-02-24 09:15:00,8772.9,8777.1,8737.15,8749.35,False,False
2015-02-24 11:15:00,8749.5,8770.0,8741.9,8753.15,False,True
2015-02-24 13:15:00,8753.15,8800.5,8727.25,8770.1,False,True
2015-02-24 15:15:00,8770.4,8774.6,8757.25,8760.8,False,True
2015-02-25 09:15:00,8802.65,8840.5,8798.6,8817.55,False,False
2015-02-25 11:15:00,8817.45,8832.8,8805.45,8809.55,False,False
2015-02-25 13:15:00,8808.75,8820.85,8751.65,8771.8,False,True
2015-02-25 15:15:00,8771.75,8773.45,8762.65,8765.25,False,True
2015-02-26 09:15:00,8779.0,8783.6,8731.7,8745.3,False,True
2015-02-26 11:15:00,8745.65,8756.45,8706.9,8734.1,False,True
2015-02-26 13:15:00,8733.5,8737.5,8669.85,8680.85,False,True
2015-02-26 15:15:00,8681.1,8695.7,8679.0,8694.65,False,True
2015-02-27 09:15:00,8729.5,8757.25,8717.6,8731.6,False,True
2015-02-27 11:15:00,8733.1,8805.5,8730.75,8804.55,False,False
2015-02-27 13:15:00,8804.3,8853.9,8796.5,8851.55,False,False
2015-02-27 15:15:00,8852.45,8856.95,8839.65,8850.65,True,False
2015-02-28 09:15:00,8913.05,8929.6,8887.95,8920.45,True,False
2015-02-28 11:15:00,8919.5,8940.8,8809.05,8826.85,True,False
2015-02-28 13:15:00,8825.8,8911.8,8751.6,8907.1,True,False
2015-02-28 15:15:00,8908.8,8930.35,8895.3,8920.75,True,False
2015-03-02 09:15:00,8954.6,8971.7,8917.95,8927.35,True,False
2015-03-02 11:15:00,8927.25,8930.85,8885.65,8898.8,True,False
2015-03-02 13:15:00,8898.9,8964.0,8892.9,8958.8,True,False
2015-03-02 15:15:00,8959.3,8969.9,8952.4,8961.55,True,False
2015-03-03 09:15:00,8962.85,8969.55,8925.7,8952.05,True,False
2015-03-03 11:15:00,8952.05,8983.55,8937.0,8976.85,True,False
2015-03-03 13:15:00,8976.95,9008.25,8960.7,8989.95,True,False
2015-03-03 15:15:00,8992.4,8999.95,8990.5,8996.75,True,False
2015-03-04 09:15:00,9109.15,9117.3,9052.3,9064.95,True,False
2015-03-04 11:15:00,9065.85,9071.55,9021.15,9044.7,True,False
2015-03-04 13:15:00,9044.55,9058.2,8894.5,8922.2,False,False
2015-03-04 15:15:00,8919.8,8922.5,8902.75,8918.4,False,False
2015-03-05 09:15:00,8929.4,8948.6,8892.65,8927.65,True,False
2015-03-05 11:15:00,8927.0,8934.55,8852.3,8862.75,False,False
2015-03-05 13:15:00,8862.9,8957.35,8849.45,8952.05,True,False
2015-03-05 15:15:00,8950.0,8953.35,8930.95,8937.75,True,False
2015-03-09 09:15:00,8877.3,8877.3,8801.1,8812.95,False,False
2015-03-09 11:15:00,8812.3,8829.8,8788.3,8788.9,False,True
2015-03-09 13:15:00,8788.4,8794.35,8754.1,8758.25,False,True
2015-03-09 15:15:00,8758.8,8758.8,8740.45,8743.25,False,True
2015-03-10 09:15:00,8769.75,8777.95,8725.4,8759.85,False,True
2015-03-10 11:15:00,8760.15,8770.55,8728.6,8734.15,False,True
2015-03-10 13:15:00,8734.5,8743.6,8677.6,8717.3,False,True
2015-03-10 15:15:00,8716.6,8726.35,8711.2,8725.6,False,True
2015-03-11 09:15:00,8728.75,8747.0,8700.9,8712.9,False,True
2015-03-11 11:15:00,8712.85,8727.0,8688.1,8713.9,False,True
2015-03-11 13:15:00,8715.65,8755.3,8691.1,8696.15,False,True
2015-03-11 15:15:00,8695.15,8703.65,8682.5,8701.8,False,True
2015-03-12 09:15:00,8740.65,8773.2,8733.5,8759.45,False,True
